,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,45.90372801
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,73.12914062
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,809311,469441,129.0094137
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1999702,1202033,297.2761111
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3708948,2498248,575.1222067
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,45.58675718
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265814,242404,73.3255806
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,549485,495610,129.3259971
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1418548,1296453,295.1378219
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2671553,2457488,579.1370511
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163632,129632,46.40414119
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311906,241906,74.23851418
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,641833,502833,130.6016264
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1568719,1225719,301.1788902
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3093841,2438841,582.0459936
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611,46.11095142
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265692,299692,74.35432673
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,507190,569190,128.553715
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1289928,1456928,292.7664354
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2627546,2983546,568.0768378
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152734,116584,45.72940898
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311951,239821,73.86652088
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,613019,472957,129.7320154
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1581826,1238888,299.3874671
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3126552,2469279,585.6203144
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,45.09344077
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,71.80074811
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,126.356374
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,293.1685188
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,559.3933265
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,45.43294001
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,73.98844481
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73551,9904984,129.4179404
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,180280,24711927,298.3407214
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,338223,49524652,575.7915521
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,44.69166493
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,73.83698988
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,341574,394502,129.5475166
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264,289.174397
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,956195,1688876,576.4211164
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,44.67018843
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,73.1847856
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020,128.3021386
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1464629,369127,297.3714914
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,3056647,756671,576.4873397
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,45.65368319
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611,73.86618996
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,679760,79760,129.4160678
0,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2347012,463012,295.8128424
0,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4832294,794294,571.5259132
0,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,206082,133082,45.80737114
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,393430,242430,73.43213439
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,796927,482927,129.4689035
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1993276,1234276,297.4376507
0,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3922689,2469689,576.5293519
0,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113859,113868,43.80140615
0,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253644,253672,71.33536458
0,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502344,502412,125.0316861
0,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238901,1239065,289.6778245
0,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423112,2423457,562.40556
0,/content/kplib/12Circle/n00050/R10000/s011.kp,8430571,126465,44.68579888
0,/content/kplib/12Circle/n00100/R10000/s009.kp,14865239,222990,71.55700088
0,/content/kplib/12Circle/n00200/R10000/s083.kp,34653826,519834,124.9575222
0,/content/kplib/12Circle/n00500/R10000/s014.kp,82646694,1239764,290.6332586
0,/content/kplib/12Circle/n01000/R10000/s068.kp,167004155,2505191,563.02372
