,Link,Total Values,Total Weights
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,194690,130726
1,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,404420,283601
2,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,732716,469440
3,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1687765,1202709
4,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3155011,2498293
5,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,128987,120381
6,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,262643,241846
7,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,530471,495440
8,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1369755,1295829
9,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2570110,2455923
10,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163600,129600
11,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,309056,242056
12,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,625850,501850
13,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1520590,1225590
14,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3009983,2438983
15,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,122736,139736
16,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,263657,299657
17,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,495326,569326
18,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1248919,1456919
19,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2557764,2983764
20,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,151546,116472
21,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,307884,239755
22,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,598640,472655
23,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1542369,1238366
24,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3045678,2469806
25,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877
26,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266
27,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746
28,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469
29,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033
30,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18038,2401286
31,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,32377,4902613
32,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,68984,9904714
33,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,155129,24712649
34,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,291134,49524081
35,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342
36,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,116086,56864
37,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,329562,394526
38,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,723911,581189
39,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,926814,1688848
40,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633
41,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,201848,114032
42,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,343428,173688
43,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1422344,369220
44,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,2472092,756934
45,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,200353,45353
46,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611
47,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,652756,79756
48,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2166255,463255
49,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4264655,794655
50,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,203141,133141
51,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,385209,242209
52,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,763893,482893
53,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1906484,1234484
54,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3737289,2469289
55,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113847,113863
56,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253632,253671
57,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502323,502413
58,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238856,1239064
59,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423022,2423456
60,/content/kplib/12Circle/n00050/R10000/s011.kp,8430566,126465
61,/content/kplib/12Circle/n00100/R10000/s009.kp,14865230,222990
62,/content/kplib/12Circle/n00200/R10000/s083.kp,34653818,519834
63,/content/kplib/12Circle/n00500/R10000/s014.kp,82646686,1239764
64,/content/kplib/12Circle/n01000/R10000/s068.kp,167004140,2505191
