,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,20.52501369
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,420036,283898,32.34609842
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,795740,469019,56.81291103
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2011165,1201549,130.6280622
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3893716,2499597,251.3122787
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,131396,120442,20.11162472
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,264832,242416,32.66937613
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,538927,495197,57.57803369
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1412995,1296676,128.3215377
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2656098,2457359,249.7765906
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,162622,129622,19.53746438
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,308089,242089,32.24275398
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,632840,502840,57.52696443
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1540706,1225706,130.6550612
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3081019,2439019,251.8695312
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,122725,139725,19.0947504
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,262677,299677,31.64689898
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,504331,569331,56.62901449
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1272862,1456862,124.3461888
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2584782,2983782,244.0063446
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,151722,116586,19.60829592
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,308847,239795,32.6462419
