,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,17.75718451
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,420412,282574,29.6778028
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,803478,468968,53.58444929
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2019877,1202265,123.9050043
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3900330,2499257,243.5991225
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,18.02646422
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265678,242379,30.44111848
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,544696,495595,53.74384713
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1404646,1296506,123.5683069
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2679532,2457161,244.1133077
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,17.93765068
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,310086,242086,30.29825854
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,638849,502849,54.37697315
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1556721,1225721,125.3423667
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3086016,2439016,244.5751798
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123653,139653,17.3423419
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,264685,299685,29.47092271
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,501332,569332,51.8726902
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1271917,1456917,118.7803059
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2634784,2983784,237.0309627
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152718,116572,17.83770585
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,309935,239809,30.23575377
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,609953,472922,53.40130115
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1568289,1239021,125.2067711
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3113128,2469900,242.8306477
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,17.10517859
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,27.90501761
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,49.85650706
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,117.0052769
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,232.1851194
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,17.79244208
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34446,4902552,30.0671761
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73492,9904882,54.00372124
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,184514,24712075,124.786423
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,353948,49523952,244.5324659
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,17.75151563
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,30.36807775
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,339810,394255,54.15260363
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,759612,581213,120.1344562
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,946919,1688972,242.0893393
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,16.94383001
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,29.0752058
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356188,174052,52.0901823
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1463195,369229,124.2393239
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,3169371,757041,242.376457
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,17.75683618
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611,29.52216744
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,674740,79740,52.85942173
0,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2347012,463012,122.7299833
0,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4963381,794381,240.1446872
0,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,205105,133105,17.8926487
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,390420,242420,30.09275174
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,785916,482916,53.67065001
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1972212,1234212,123.8445125
0,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3915856,2469856,241.7293839
0,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113856,113867,16.96339822
0,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253632,253666,28.32271361
0,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502335,502415,49.97509813
0,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238871,1239064,118.498378
0,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423073,2423458,232.3413873
0,/content/kplib/12Circle/n00050/R10000/s011.kp,8430570,126465,16.9998796
0,/content/kplib/12Circle/n00100/R10000/s009.kp,14865235,222990,27.98073912
0,/content/kplib/12Circle/n00200/R10000/s083.kp,34653824,519834,51.03675652
0,/content/kplib/12Circle/n00500/R10000/s014.kp,82646688,1239764,119.4909236
0,/content/kplib/12Circle/n01000/R10000/s068.kp,167004149,2505191,231.4902415
