,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,4.570356369
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,7.549100876
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,805250,468509,13.28407335
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1948403,1199877,30.61395836
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3454591,2499555,59.54260564
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,4.509770632
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265152,242378,7.465366602
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,547824,495490,13.34866643
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1403543,1296629,30.49380279
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2629896,2457197,59.3963747
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,4.462340593
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311093,242093,7.37923336
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,639847,502847,13.24041128
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1553863,1224863,30.73568726
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3059931,2438931,59.92642045
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611,4.463692904
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265691,299691,7.351284266
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,506100,569100,13.26341891
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1280602,1456602,29.80706501
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2605105,2983105,58.07332253
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152696,116585,4.500368118
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311929,239812,7.501110315
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,611925,472941,13.35798717
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1571184,1238982,30.62719822
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3099931,2469768,59.19271278
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,4.312847853
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,7.116406918
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,12.73756862
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,29.89719057
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,58.08508182
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,4.4097054
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34446,4902552,7.487123489
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73288,9904813,13.33735275
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,173717,24711881,30.64784217
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,321194,49523604,59.04595923
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,4.382120848
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,7.478826761
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,340178,394469,13.37488723
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,757948,581162,29.85929823
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,949361,1688670,59.64868903
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,4.399831057
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,7.37548542
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020,13.14711285
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1451177,369187,30.56816483
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,2805620,756862,59.2212646
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,4.436099529
