,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,195800,130676,4.355650663
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,415745,284300,7.809318781
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,762427,469071,13.34809327
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1883097,1201717,30.81943011
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3751531,2499529,60.25569677
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,129369,120548,4.164701462
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,262384,242252,7.782214403
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,535398,495441,13.59675479
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1389834,1296691,30.28775239
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2632870,2457326,59.45811605
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,161705,128705,4.32078743
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,308081,242081,7.70587182
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,619853,502853,13.2708075
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1537710,1225710,30.88196921
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3012844,2438844,59.39396691
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,122626,139626,4.098108768
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,263688,299688,7.795807362
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,496325,569325,13.2587862
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1266390,1456390,30.23950267
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2556730,2983730,58.22854137
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,150677,116575,4.221541405
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,306394,239264,7.87163353
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,595796,472740,13.52176476
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1542388,1238337,30.63528252
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3039889,2469854,59.3848393
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,4.150190592
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,7.600585938
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,13.48684645
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,30.53671813
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,58.05367708
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,17948,2401324,4.233452082
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,7.982357264
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,72505,9904733,13.54559112
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,181457,24712002,31.19456124
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,344546,49524280,59.94825315
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34140,61308,4.196713209
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,116631,56852,7.831917048
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,328458,393884,13.69990635
