,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,19.12780881
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,31.03990102
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,806305,469428,55.49135423
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2033744,1201869,128.558881
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3929682,2498947,248.7389653
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,19.06044126
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265738,242211,31.42583942
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,548699,495637,55.55135846
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1423449,1296651,127.2676406
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2700206,2457390,246.6119432
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,19.16502285
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311093,242093,31.01642513
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,641835,502835,55.59799266
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1571724,1225724,127.9069295
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3114017,2439017,247.7118499
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123653,139653,18.68232536
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265679,299679,31.24661851
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,506334,569334,55.02478886
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1289930,1456930,124.0501263
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2649731,2983731,241.9615326
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152715,116583,19.46729469
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,310943,239821,32.05635214
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,612011,472940,56.62050319
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1581249,1239007,130.2841766
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3147158,2469960,248.7808638
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,18.43996096
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,29.66024303
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,52.5353744
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,122.68483
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,237.5962598
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,19.37643194
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,32.08173871
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73547,9904940,56.95399308
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,184388,24712000,130.0353484
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,357844,49524328,250.1677415
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,19.04126263
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,32.31971049
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,340968,394539,57.20753551
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264,125.5964396
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,963022,1688750,250.6215689
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,18.7963376
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,31.4330945
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356188,174052,55.43823075
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1466319,369231,130.4338436
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,3210838,756686,251.1666079
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,19.85185266
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611,33.030514
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,679760,79760,57.67328334
0,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2347012,463012,130.3180099
0,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4956227,794227,251.6543417
0,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,205973,132973,19.72670054
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,393425,242425,32.73989725
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,794778,482778,57.33167076
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1999415,1234415,132.1218288
0,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3978942,2469942,250.6039581
0,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113856,113868,18.38908982
0,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253638,253672,30.22636676
0,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502350,502415,53.17065597
0,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238964,1239064,125.5654655
0,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423196,2423456,244.5818424
0,/content/kplib/12Circle/n00050/R10000/s011.kp,8430570,126465,19.28178096
0,/content/kplib/12Circle/n00100/R10000/s009.kp,14865239,222990,30.89910555
0,/content/kplib/12Circle/n00200/R10000/s083.kp,34653824,519834,55.11958575
0,/content/kplib/12Circle/n00500/R10000/s014.kp,82646696,1239764,125.8917339
0,/content/kplib/12Circle/n01000/R10000/s068.kp,167004158,2505191,244.1940718
