,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,9.406546593
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,15.51087642
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,806687,469405,27.38979149
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1969382,1202851,63.68128085
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3609284,2497296,123.6013978
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,9.379493475
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265814,242404,15.54007339
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,549105,495453,27.48717666
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1411349,1295413,63.52434134
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2651291,2456421,123.1186347
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,9.277417183
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311093,242093,15.36044145
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,640852,502852,27.55890894
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1562689,1225689,63.76609135
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3075985,2438985,123.684664
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123653,139653,9.091069937
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265692,299692,15.31190395
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,506335,569335,27.26621079
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1285812,1456812,61.71872997
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2615690,2983690,120.8534198
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152700,116583,9.300131321
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311951,239821,15.5065186
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,612944,472937,27.51568389
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1575739,1238580,63.23896813
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3114119,2469942,123.2149096
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,8.896065235
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,14.66157055
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,26.37709069
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,61.51785374
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,119.5781341
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,9.21344924
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,15.49590898
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73409,9905009,27.45066571
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,176920,24712213,63.35567522
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,330178,49524159,122.9254138
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,9.091638088
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,15.51195002
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,340470,393860,27.42306781
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264,61.81695032
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,951153,1688098,123.5927751
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,9.120194197
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,15.43628454
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020,27.15540862
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1460788,369176,63.49466228
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,2944371,756993,123.9861157
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,9.471966028
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611,15.72088218
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,679760,79760,27.66863441
0,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2341837,462837,63.98152685
0,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4759365,794365,123.1989229
0,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,205899,132899,9.299509764
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,393427,242427,15.46636987
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,796799,482799,27.75471687
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1975868,1233868,63.70760703
0,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3879930,2469930,123.9471343
0,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113856,113868,9.022885084
0,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253638,253672,15.07609606
0,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502344,502414,26.51619411
0,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238904,1239064,61.89906287
0,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423094,2423456,120.4090757
0,/content/kplib/12Circle/n00050/R10000/s011.kp,8430571,126465,9.148775816
0,/content/kplib/12Circle/n00100/R10000/s009.kp,14865238,222990,15.15653133
0,/content/kplib/12Circle/n00200/R10000/s083.kp,34653825,519834,26.59912562
0,/content/kplib/12Circle/n00500/R10000/s014.kp,82646692,1239764,62.16694045
0,/content/kplib/12Circle/n01000/R10000/s068.kp,167004155,2505191,120.775305
