,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,18.7211163
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,30.61716986
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,809212,469770,54.5465951
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1985922,1199961,126.8683071
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3640157,2497655,245.522651
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,18.86146808
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265817,242409,30.67426944
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,548969,495525,54.32659292
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1414134,1296686,125.2688806
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2662614,2457187,245.4229937
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,18.6382792
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311093,242093,30.39391947
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,640854,502854,54.28058767
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1565639,1225639,126.165396
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3087569,2437569,244.9996922
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611,18.40289235
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265692,299692,30.51160979
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,507015,569015,53.89171457
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1287583,1456583,122.2085485
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2621480,2983480,240.678129
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152734,116584,18.89927053
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311945,239817,30.58658767
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,612984,472952,54.51487327
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1578470,1237386,125.8753922
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3118264,2469939,245.7054436
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,18.09427786
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,29.47520852
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,52.50446606
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,122.482043
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,238.6592979
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,18.66857243
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,30.85045075
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73530,9905041,54.63119102
