,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,197830,130200,20.06270957
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421695,283762,32.47878933
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,804772,469745,57.2189467
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2019111,1200955,130.3653674
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3981036,2497841,250.4005418
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,19.84073377
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,264849,242391,32.81403112
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,547120,495626,56.9748795
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1409595,1296629,131.8886471
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2688635,2457421,246.4517987
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163631,129631,18.71508646
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311092,242092,31.23303986
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,639852,502852,55.91269469
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1566171,1225171,128.9436662
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3104017,2439017,247.1301324
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611,18.41771841
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265687,299687,31.13093567
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,505336,569336,55.42006016
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1284929,1456929,122.8349311
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2631783,2983783,237.5370257
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152715,116575,18.55314755
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,310929,239810,30.95164633
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,611893,472909,54.69403172
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1575190,1239019,125.990238
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3134150,2469942,241.3687384
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,17.69261265
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,28.57056022
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,50.92423439
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,119.0561001
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,229.3385017
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,17.89620042
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,30.28944993
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73485,9904978,54.45248652
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,184500,24712158,125.8114476
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,357713,49524095,241.0397446
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,17.66730571
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,30.64514041
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,340968,394539,54.43662548
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,761276,581264,121.3359649
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,954519,1688838,241.3703833
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,17.62351823
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,30.19376278
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020,53.28869629
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1464868,369110,126.7676153
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,3209285,755785,242.0749087
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,18.43214321
