,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198118,130785,4.810771465
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,7.840437651
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,804044,469509,14.12058926
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,1937432,1201866,32.00670815
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,3520683,2498386,61.6384511
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,4.652535677
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265627,242431,7.912815094
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,547907,495550,13.98301196
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1404463,1296422,31.73464322
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2626817,2457339,61.18652868
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163632,129632,4.643558025
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,311093,242093,7.665290117
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,639831,502831,13.90206051
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1557572,1225572,31.79101348
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3064203,2438203,61.80623436
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123611,139611,4.652309418
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,265692,299692,7.667289019
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,506156,569156,13.82211232
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1283543,1456543,31.14454484
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2602743,2983743,61.30755162
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152725,116582,4.755140305
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311929,239812,8.102864504
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,611984,472951,14.24983931
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1573139,1238133,32.88247275
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3096209,2469954,63.26096344
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,4.591748476
0,/content/kplib/05SubsetSum/n00100/R10000/s050.kp,246266,246266,7.644391537
0,/content/kplib/05SubsetSum/n00200/R10000/s054.kp,481746,481746,13.64185929
0,/content/kplib/05SubsetSum/n00500/R10000/s036.kp,1274469,1274469,31.92919636
0,/content/kplib/05SubsetSum/n01000/R10000/s095.kp,2438033,2438033,61.49881315
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R10000/s041.kp,18125,2401298,4.712342739
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00100/R10000/s016.kp,34448,4902554,7.956683397
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s037.kp,73250,9904995,14.16702008
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,174572,24712358,32.59446549
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s035.kp,322465,49523542,61.70979118
0,/content/kplib/07SpannerUncorrelated/n00050/R10000/s049.kp,34230,61342,4.646394253
0,/content/kplib/07SpannerUncorrelated/n00100/R10000/s045.kp,117227,56680,8.118341446
0,/content/kplib/07SpannerUncorrelated/n00200/R10000/s035.kp,340600,394325,14.42946458
0,/content/kplib/07SpannerUncorrelated/n00500/R10000/s015.kp,759612,581213,31.44282603
0,/content/kplib/07SpannerUncorrelated/n01000/R10000/s063.kp,950654,1688878,63.0728972
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s085.kp,122844,48633,4.634024143
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s081.kp,202120,114080,7.809316874
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R10000/s050.kp,356510,174020,14.12963772
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s088.kp,1454540,369172,32.30986714
0,/content/kplib/08SpannerWeaklyCorrelated/n01000/R10000/s041.kp,2841577,756983,62.69960046
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s058.kp,204419,45419,4.755232334
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R10000/s004.kp,417611,44611,7.92658782
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R10000/s087.kp,679760,79760,14.44269037
0,/content/kplib/09SpannerStronglyCorrelated/n00500/R10000/s043.kp,2331050,463050,32.36067224
0,/content/kplib/09SpannerStronglyCorrelated/n01000/R10000/s042.kp,4648718,794718,62.50335646
0,/content/kplib/10MultipleStronglyCorrelated/n00050/R10000/s006.kp,205973,132973,4.810048819
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R10000/s076.kp,393388,242388,8.003357172
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s032.kp,792798,482798,13.9986701
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R10000/s033.kp,1969757,1233757,31.9966495
0,/content/kplib/10MultipleStronglyCorrelated/n01000/R10000/s057.kp,3861397,2469397,61.72986627
0,/content/kplib/11ProfitCeiling/n00050/R10000/s052.kp,113853,113868,4.442151308
0,/content/kplib/11ProfitCeiling/n00100/R10000/s001.kp,253638,253672,7.655492783
0,/content/kplib/11ProfitCeiling/n00200/R10000/s055.kp,502341,502415,13.5839541
0,/content/kplib/11ProfitCeiling/n00500/R10000/s052.kp,1238898,1239062,31.11268663
0,/content/kplib/11ProfitCeiling/n01000/R10000/s044.kp,2423091,2423458,60.16064525
0,/content/kplib/12Circle/n00050/R10000/s011.kp,8430571,126465,4.490149736
0,/content/kplib/12Circle/n00100/R10000/s009.kp,14865237,222990,7.562960863
0,/content/kplib/12Circle/n00200/R10000/s083.kp,34653824,519834,13.57161903
0,/content/kplib/12Circle/n00500/R10000/s014.kp,82646691,1239764,31.40010715
0,/content/kplib/12Circle/n01000/R10000/s068.kp,167004152,2505191,60.76821685
